id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1353526538793349121,1353526538793349121,2021-01-24 21:14:08 EST,2021-01-24,21:14:08,-0500,1213982831195521024,anaaajuuliaaa,Ana ✨,,Os bonitos estão na Disney né ?,pt,[],[],[],0,0,0,[],[],https://twitter.com/anaaajuuliaaa/status/1353526538793349121,False,https://twitter.com/simpraisa/status/1353517696739106816,0,,,,,,,,[],,,,
1353526535303659520,1353525603891355648,2021-01-24 21:14:07 EST,2021-01-24,21:14:07,-0500,1327284486036447235,andmi08,AndMi,,"@erospjmn Nossa moeda desvalorizada, nem dá p comprar o BE e muito menos ir p Disney  Bolsominions, vcs prometeram q tudo ia melhorar...  https://t.co/iaWeO7CKbd",pt,[],[],['https://pbs.twimg.com/tweet_video_thumb/EsixNGDWMAAo8xF.jpg'],0,0,0,[],[],https://twitter.com/AndMi08/status/1353526535303659520,False,,1,https://pbs.twimg.com/tweet_video_thumb/EsixNGDWMAAo8xF.jpg,,,,,,,"[{'screen_name': 'erospjmn', 'name': 'ᴄʜʀɪs៹⁷₁₃ 🐝', 'id': '1293661521055293447'}]",,,,
1353526532925435904,1353526532925435904,2021-01-24 21:14:07 EST,2021-01-24,21:14:07,-0500,1316876561480622082,kehindeig97,Kehinde Demola Igbaroola,,@skaijackson @skykatz DISNEY lunch tv @ArianaG fridge air,en,"[{'screen_name': 'skykatz', 'name': 'sky katz', 'id': '702663445645271040'}, {'screen_name': 'arianag', 'name': 'ariana greenblatt', 'id': '4872700239'}]",[],[],0,0,0,[],[],https://twitter.com/KehindeIg97/status/1353526532925435904,False,,0,,,,,,,,[],,,,
1353526530274635778,1353526530274635778,2021-01-24 21:14:06 EST,2021-01-24,21:14:06,-0500,1133911461531725826,costeneas,benga descontrolada,,TEM VIOLETTA NO DISNEY PLUS JÁ ERA PRA MIM,pt,[],[],[],0,0,0,[],[],https://twitter.com/costeneas/status/1353526530274635778,False,,0,,,,,,,,[],,,,
1353526523827904512,1353526523827904512,2021-01-24 21:14:05 EST,2021-01-24,21:14:05,-0500,40173650,robinsnewswire,Global News Report,,"""Product #Review: WandaVision release dates: When does episode 4 air on Disney Plus? #News"":  https://t.co/2kTXhzn7Yf",en,[],['https://www.robinspost.com/news/reviews/1291928-product-review-wandavision-release-dates-when-does-episode-4-air-on-disney-plus.html'],[],0,0,0,"['review', 'news']",[],https://twitter.com/robinsnewswire/status/1353526523827904512,False,,0,,,,,,,,[],,,,
1353526523492507650,1353526523492507650,2021-01-24 21:14:05 EST,2021-01-24,21:14:05,-0500,1142393773139193857,shazzshanker,Salazar Slytherin (沙坊),,"Anyone like disney? — Erm, I brought up with Cartoon Network mostly.  https://t.co/aQ9XdqNrwO",en,[],['https://lap78.ask.fm/igoto/45DKECPW7B667HQMHN2IG6NMZOEC7NY3RT56LUPGKHV2XYNMYIYNC6KOFFEMAQJSKKZ7IEYHIRRH6FIN5U36Y3N7NLRP5BJDRYDB3ACPA5OSKKOPAWFDIEXDQPQ65U3XQOW24CSL5XMGBDUEIOPAUFJVW3MGZ7FCYLMVP73FQSS36M63AFPHVAOEVEDIZQPAQEQIIEKBXBIMVF2DIR6Q===='],[],0,0,0,[],[],https://twitter.com/shazzshanker/status/1353526523492507650,False,,0,,,,,,,,[],,,,
1353526522385027084,1353526522385027084,2021-01-24 21:14:04 EST,2021-01-24,21:14:04,-0500,40173650,robinsnewswire,Global News Report,,"""Product #Review: 14 best TV shows to stream on Disney Plus #News"":  https://t.co/7K8yLy3s3r",en,[],['https://www.robinspost.com/news/reviews/1291927-product-review-14-best-tv-shows-to-stream-on-disney-plus.html'],[],0,0,0,"['review', 'news']",[],https://twitter.com/robinsnewswire/status/1353526522385027084,False,,0,,,,,,,,[],,,,
1353526517645664256,1353526517645664256,2021-01-24 21:14:03 EST,2021-01-24,21:14:03,-0500,1339734603368677381,randandandanie,✧ Lari ✧,,"MDs tanta coisa pra colocar no meu plot da Disney fest, será se vai dar?",pt,[],[],[],0,0,0,[],[],https://twitter.com/Randandandanie/status/1353526517645664256,False,,0,,,,,,,,[],,,,
1353526510779469826,1353526510779469826,2021-01-24 21:14:02 EST,2021-01-24,21:14:02,-0500,25651001,maiyoko,舞浜横丁,,Disney+2月配信開始 ディズニーパークの夜明け ＜ドラマ＞ ワンス・アポン・ア・タイムS6&amp;7（ファイナル） マーベル エージェント・オブ・シールドS7（ファイナル） ＜アニメーション＞ I LOVE スヌーピー THE PEANUTS MOVIE ブック・オブ・ライフ～マノロの数奇な冒険～ ガーフィールド　ザ・ムービー,ja,[],[],[],0,0,0,[],[],https://twitter.com/maiyoko/status/1353526510779469826,False,,0,,,,,,,,[],,,,
1353526507117760512,1353526507117760512,2021-01-24 21:14:01 EST,2021-01-24,21:14:01,-0500,1277253754471854080,lightscharli_,Sergio| ◡̈ 🍾,,Quiero ver una película en Disney+ con alguien :(,es,[],[],[],0,0,0,[],[],https://twitter.com/lightscharli_/status/1353526507117760512,False,,0,,,,,,,,[],,,,
